 ***************************遗传算法进化代数:   1 最大目标函数值:  0.8108****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7239****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7202****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7146****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7147****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7151****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7180****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7196****** 耗时:    47s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.7168****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.7179****** 耗时:    58s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.7214****** 耗时:    63s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.7225****** 耗时:    69s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.7211****** 耗时:    75s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.7178****** 耗时:    81s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.7158****** 耗时:    87s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.7130****** 耗时:    93s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.7106****** 耗时:    98s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.7097****** 耗时:   104s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.7058****** 耗时:   110s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.7032****** 耗时:   116s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170510 10:13:36:466   结束时间: 20170510 10:15:32:347    历时:  116s
2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000050001.mgt.00008.bak': No such file or directory
mv: cannot stat `000050002.mgt.00008.bak': No such file or directory
mv: cannot stat `000050001.gw.00008.bak': No such file or directory
mv: cannot stat `000050002.gw.00008.bak': No such file or directory
mv: cannot stat `000060001.mgt.00008.bak': No such file or directory
mv: cannot stat `000060002.gw.00008.bak': No such file or directory
mv: cannot stat `000080002.mgt.00008.bak': No such file or directory
mv: cannot stat `000080003.mgt.00008.bak': No such file or directory
mv: cannot stat `000080001.gw.00008.bak': No such file or directory
mv: cannot stat `000080002.gw.00008.bak': No such file or directory
mv: cannot stat `000080003.gw.00008.bak': No such file or directory
mv: cannot stat `000090001.mgt.00008.bak': No such file or directory
mv: cannot stat `000090002.mgt.00008.bak': No such file or directory
mv: cannot stat `000090002.gw.00008.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 7 with PID 29216 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `out/FLOW_OUT00002.txt': No such file or directory
mv: cannot stat `000010001.mgt.00002.bak': No such file or directory
mv: cannot stat `000010001.gw.00002.bak': No such file or directory
mv: cannot stat `000010002.gw.00002.bak': No such file or directory
mv: cannot stat `000060001.mgt.00002.bak': No such file or directory
mv: cannot stat `000090001.gw.00002.bak': No such file or directory
mv: cannot stat `000100002.mgt.00002.bak': No such file or directory
mv: cannot stat `000100001.gw.00002.bak': No such file or directory
mv: cannot stat `000100002.gw.00002.bak': No such file or directory
mv: cannot stat `000110001.mgt.00002.bak': No such file or directory
mv: cannot stat `000110002.mgt.00002.bak': No such file or directory
mv: cannot stat `000110002.gw.00002.bak': No such file or directory
mv: cannot stat `000120001.mgt.00002.bak': No such file or directory
mv: cannot stat `000140001.mgt.00002.bak': No such file or directory
mv: cannot stat `000140002.mgt.00002.bak': No such file or directory
mv: cannot stat `000140001.gw.00002.bak': No such file or directory
mv: cannot stat `000060002.mgt.00002.bak': No such file or directory
mv: cannot stat `000060001.gw.00002.bak': No such file or directory
mv: cannot stat `000100002.mgt.00002.bak': No such file or directory
mv: cannot stat `000100002.gw.00002.bak': No such file or directory
mv: cannot stat `000020001.mgt.00004.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 15 with PID 4655 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000070001.gw.00004.bak': No such file or directory
mv: cannot stat `000080001.mgt.00004.bak': No such file or directory
mv: cannot stat `000080002.mgt.00004.bak': No such file or directory
mv: cannot stat `000080003.mgt.00004.bak': No such file or directory
mv: cannot stat `000100001.gw.00004.bak': No such file or directory
mv: cannot stat `000100002.gw.00004.bak': No such file or directory
mv: cannot stat `000110001.mgt.00004.bak': No such file or directory
mv: cannot stat `000110002.gw.00004.bak': No such file or directory
mv: cannot stat `000140001.gw.00004.bak': No such file or directory
mv: cannot stat `000140002.gw.00004.bak': No such file or directory
mv: cannot stat `000150001.mgt.00004.bak': No such file or directory
mv: cannot stat `000150002.mgt.00004.bak': No such file or directory
mv: cannot stat `000150003.mgt.00004.bak': No such file or directory
mv: cannot stat `000150001.gw.00004.bak': No such file or directory
mv: cannot stat `000150002.gw.00004.bak': No such file or directory
mv: cannot move `000160002.mgt.00004.bak' to `000160002.mgt.00004': No such file or directory
mv: cannot stat `000180001.mgt.00004.bak': No such file or directory
mv: cannot stat `000180001.gw.00004.bak': No such file or directory
mv: cannot stat `000190001.mgt.00004.bak': No such file or directory
mv: cannot stat `000190002.mgt.00004.bak': No such file or directory
mv: cannot stat `000190001.gw.00004.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 15 with PID 13083 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot move `000030002.mgt.00015.bak' to `000030002.mgt.00015': No such file or directory
mv: cannot stat `000030001.gw.00015.bak': No such file or directory
mv: cannot stat `000070001.mgt.00005.bak': No such file or directory
mv: cannot stat `000070001.gw.00005.bak': No such file or directory
mv: cannot stat `000080001.mgt.00005.bak': No such file or directory
mv: cannot stat `000080003.mgt.00005.bak': No such file or directory
mv: cannot stat `000090002.gw.00015.bak': No such file or directory
mv: cannot stat `000100001.mgt.00015.bak': No such file or directory
mv: cannot stat `000100001.gw.00015.bak': No such file or directory
mv: cannot stat `000100002.gw.00015.bak': No such file or directory
mv: cannot stat `000140001.gw.00015.bak': No such file or directory
mv: cannot stat `000140002.gw.00015.bak': No such file or directory
mv: cannot stat `000150001.gw.00015.bak': No such file or directory
mv: cannot stat `000150002.gw.00015.bak': No such file or directory
mv: cannot stat `000150003.gw.00015.bak': No such file or directory
mv: cannot stat `000160001.mgt.00015.bak': No such file or directory
mv: cannot stat `000160002.gw.00015.bak': No such file or directory
mv: cannot stat `000170001.mgt.00015.bak': No such file or directory
mv: cannot stat `000160002.gw.00005.bak': No such file or directory
mv: cannot stat `000190001.mgt.00015.bak': No such file or directory
mv: cannot stat `000190001.mgt.00005.bak': No such file or directory
mv: cannot stat `000190002.mgt.00005.bak': No such file or directory
mv: cannot stat `000190002.gw.00015.bak': No such file or directory
mv: cannot stat `000190001.gw.00005.bak': No such file or directory
mv: cannot stat `000190002.gw.00005.bak': No such file or directory
mv: cannot stat `out/FLOW_OUT00005.txt': No such file or directory
forrtl: severe (24): end-of-file during read, unit 109, file /home/wujiahao/parall_ga_swat/000200002.mgt.00005
Image              PC                Routine            Line        Source             
swat2012_627_para  00000000005DEB96  Unknown               Unknown  Unknown
swat2012_627_para  00000000005FB997  Unknown               Unknown  Unknown
swat2012_627_para  00000000004E799E  Unknown               Unknown  Unknown
swat2012_627_para  0000000000502836  Unknown               Unknown  Unknown
swat2012_627_para  00000000004DEDA7  Unknown               Unknown  Unknown
swat2012_627_para  00000000004B49CD  Unknown               Unknown  Unknown
swat2012_627_para  000000000040401E  Unknown               Unknown  Unknown
libc-2.12.so       0000003185E1ED1D  __libc_start_main     Unknown  Unknown
swat2012_627_para  0000000000403F29  Unknown               Unknown  Unknown
mv: cannot stat `000010001.mgt.00003.bak': No such file or directory
mv: cannot stat `000010002.mgt.00003.bak': No such file or directory
mv: cannot stat `000010001.gw.00003.bak': No such file or directory
mv: cannot stat `000090001.mgt.00003.bak': No such file or directory
mv: cannot stat `000090002.mgt.00003.bak': No such file or directory
mv: cannot stat `000090001.gw.00003.bak': No such file or directory
mv: cannot stat `000100002.gw.00003.bak': No such file or directory
mv: cannot stat `000110001.mgt.00003.bak': No such file or directory
mv: cannot stat `000120001.gw.00003.bak': No such file or directory
mv: cannot stat `000130001.mgt.00003.bak': No such file or directory
mv: cannot stat `000130002.mgt.00003.bak': No such file or directory
mv: cannot stat `000130001.gw.00003.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 1 with PID 21754 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000010002.mgt.00010.bak': No such file or directory
mv: cannot stat `000050001.mgt.00010.bak': No such file or directory
mv: cannot stat `000050002.mgt.00010.bak': No such file or directory
mv: cannot stat `000070001.mgt.00010.bak': No such file or directory
mv: cannot move `000070001.gw.00010.bak' to `000070001.gw.00010': No such file or directory
mv: cannot stat `000080001.mgt.00010.bak': No such file or directory
mv: cannot stat `000080002.mgt.00010.bak': No such file or directory
mv: cannot stat `000090001.mgt.00010.bak': No such file or directory
mv: cannot stat `000090002.mgt.00010.bak': No such file or directory
mv: cannot stat `000090001.gw.00010.bak': No such file or directory
mv: cannot stat `000090002.gw.00010.bak': No such file or directory
mv: cannot stat `000100001.mgt.00010.bak': No such file or directory
mv: cannot stat `000100002.mgt.00010.bak': No such file or directory
mv: cannot stat `000110002.gw.00010.bak': No such file or directory
mv: cannot stat `000120001.mgt.00010.bak': No such file or directory
mv: cannot stat `000120001.gw.00010.bak': No such file or directory
mv: cannot stat `000130001.mgt.00010.bak': No such file or directory
mv: cannot stat `000130002.mgt.00010.bak': No such file or directory
mv: cannot move `000130001.gw.00010.bak' to `000130001.gw.00010': No such file or directory
mv: cannot stat `000130002.gw.00010.bak': No such file or directory
mv: cannot move `000140002.mgt.00010.bak' to `000140002.mgt.00010': No such file or directory
mv: cannot stat `000140001.gw.00010.bak': No such file or directory
mv: cannot stat `000140002.gw.00010.bak': No such file or directory
mv: cannot stat `000150001.mgt.00010.bak': No such file or directory
mv: cannot stat `000160001.mgt.00013.bak': No such file or directory
mv: cannot stat `000150003.gw.00010.bak': No such file or directory
mv: cannot move `000160002.mgt.00013.bak' to `000160002.mgt.00013': No such file or directory
mv: cannot stat `000160001.mgt.00010.bak': No such file or directory
mv: cannot stat `000160002.mgt.00010.bak': No such file or directory
mv: cannot stat `000180001.mgt.00013.bak': No such file or directory
mv: cannot stat `000170001.gw.00010.bak': No such file or directory
mv: cannot stat `000180001.gw.00013.bak': No such file or directory
mv: cannot stat `000190001.mgt.00013.bak': No such file or directory
mv: cannot stat `000180001.mgt.00010.bak': No such file or directory
mv: cannot stat `000180001.gw.00010.bak': No such file or directory
mv: cannot stat `000190001.mgt.00010.bak': No such file or directory
mv: cannot stat `000190001.gw.00013.bak': No such file or directory
mv: cannot stat `000190002.mgt.00010.bak': No such file or directory
mv: cannot stat `000190002.gw.00013.bak': No such file or directory
mv: cannot stat `000200001.mgt.00013.bak'mv: : No such file or directory
cannot stat `000190001.gw.00010.bak': No such file or directory
mv: cannot stat `000190002.gw.00010.bak': No such file or directory
mv: cannot stat `000200002.mgt.00013.bak': No such file or directory
mv: cannot stat `000200001.mgt.00010.bak': No such file or directory
mv: cannot move `000200002.mgt.00010.bak' to `000200002.mgt.00010': No such file or directory
mv: cannot stat `000200001.gw.00010.bak': No such file or directory
mv: cannot stat `000200002.mgt.00009.bak': No such file or directory
mv: cannot stat `000130001.mgt.00007.bak': No such file or directory
mv: cannot stat `000130002.mgt.00007.bak': No such file or directory
mv: cannot stat `000130001.gw.00007.bak': No such file or directory
mv: cannot stat `000140002.mgt.00007.bak': No such file or directory
mv: cannot stat `000140001.gw.00007.bak': No such file or directory
mv: cannot stat `000150002.mgt.00007.bak': No such file or directory
mv: cannot stat `000150003.mgt.00007.bak': No such file or directory
mv: cannot stat `000150001.gw.00007.bak': No such file or directory
mv: cannot stat `000150002.gw.00007.bak': No such file or directory
mv: cannot stat `000200001.mgt.00007.bak': No such file or directory
mv: cannot stat `000200002.mgt.00007.bak': No such file or directory
mv: cannot stat `000200001.gw.00007.bak': No such file or directory
mv: cannot stat `000200002.gw.00007.bak': No such file or directory
mv: cannot stat `000060002.gw.00006.bak': No such file or directory
mv: cannot stat `000070001.mgt.00006.bak': No such file or directory
mv: cannot stat `000080001.mgt.00006.bak': No such file or directory
mv: cannot stat `000080002.mgt.00006.bak': No such file or directory
mv: cannot stat `000110001.mgt.00006.bak': No such file or directory
mv: cannot stat `000110002.mgt.00006.bak': No such file or directory
mv: cannot stat `000110002.gw.00006.bak': No such file or directory
mv: cannot stat `000120001.mgt.00006.bak': No such file or directory
mv: cannot stat `000130001.mgt.00006.bak': No such file or directory
mv: cannot stat `000130002.mgt.00006.bak': No such file or directory
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7851****** 耗时:    11s*****************************************
mv: cannot stat `000020001.mgt.00002.bak': No such file or directory
mv: cannot stat `000020002.mgt.00002.bak': No such file or directory
mv: cannot stat `000020001.gw.00002.bak': No such file or directory
mv: cannot stat `000020002.gw.00002.bak': No such file or directory
mv: cannot stat `000010001.mgt.00016.bak': No such file or directory
mv: cannot stat `000010001.mgt.00005.bak': No such file or directory
mv: cannot stat `000010002.mgt.00016.bak': No such file or directory
mv: cannot stat `000010001.gw.00016.bak': No such file or directory
mv: cannot stat `000010002.gw.00016.bak': No such file or directory
mv: cannot stat `000020001.mgt.00016.bak': No such file or directory
mv: cannot stat `000020002.mgt.00016.bak': No such file or directory
mv: cannot stat `000020001.gw.00016.bak': No such file or directory
mv: cannot stat `000020002.gw.00016.bak': No such file or directory
mv: cannot stat `000030001.gw.00016.bak': No such file or directory
mv: cannot stat `000110002.gw.00002.bak': No such file or directory
mv: cannot move `000120001.mgt.00002.bak' to `000120001.mgt.00002': No such file or directory
mv: cannot stat `000150001.mgt.00002.bak': No such file or directory
mv: cannot stat `000150002.mgt.00002.bak': No such file or directory
mv: cannot move `000150003.mgt.00002.bak' to `000150003.mgt.00002': No such file or directory
mv: cannot stat `000150001.gw.00002.bak': No such file or directory
mv: cannot stat `000150002.gw.00002.bak': No such file or directory
mv: cannot stat `000150003.gw.00002.bak': No such file or directory
mv: cannot move `000150002.gw.00003.bak' to `000150002.gw.00003': No such file or directory
mv: cannot stat `000150003.gw.00003.bak': No such file or directory
mv: cannot move `000160001.mgt.00003.bak' to `000160001.mgt.00003': No such file or directory
mv: cannot move `000110001.mgt.00016.bak' to `000110001.mgt.00016': No such file or directory
mv: cannot stat `000160002.mgt.00003.bak': No such file or directory
mv: cannot stat `000110001.gw.00005.bak': No such file or directory
mv: cannot stat `000120001.mgt.00005.bak': No such file or directory
mv: cannot stat `000170001.gw.00003.bak': No such file or directory
mv: cannot stat `000130001.mgt.00005.bak': No such file or directory
mv: cannot stat `000140002.gw.00016.bak': No such file or directory
mv: cannot stat `000150001.mgt.00016.bak': No such file or directory
mv: cannot stat `000150002.mgt.00016.bak': No such file or directory
mv: cannot stat `000150003.mgt.00016.bak': No such file or directory
mv: cannot stat `000150001.gw.00016.bak': No such file or directory
mv: cannot stat `000160001.gw.00016.bak': No such file or directory
mv: cannot move `000180001.gw.00005.bak' to `000180001.gw.00005': No such file or directory
mv: cannot stat `000190001.mgt.00005.bak': No such file or directory
mv: cannot stat `000190002.mgt.00005.bak': No such file or directory
mv: cannot stat `000190001.mgt.00012.bak': No such file or directory
mv: cannot stat `000190002.gw.00005.bak': No such file or directory
mv: cannot stat `000190002.mgt.00012.bak': No such file or directory
mv: cannot stat `000180001.mgt.00005.bak': No such file or directory
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7167****** 耗时:    22s*****************************************
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 4 with PID 2965 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot move `000080003.gw.00003.bak' to `000080003.gw.00003': No such file or directory
mv: cannot stat `000090001.mgt.00003.bak': No such file or directory
mv: cannot stat `000150001.mgt.00003.bak': No such file or directory
mv: cannot stat `000150002.gw.00003.bak': No such file or directory
mv: cannot stat `000160002.gw.00003.bak': No such file or directory
mv: cannot move `000170001.mgt.00003.bak' to `000170001.mgt.00003': No such file or directory
mv: cannot move `000200001.gw.00003.bak' to `000200001.gw.00003': No such file or directory
mv: cannot stat `000010001.mgt.00003.bak': No such file or directory
mv: cannot stat `000010002.mgt.00003.bak': No such file or directory
mv: cannot stat `000010001.gw.00003.bak': No such file or directory
mv: cannot stat `000020001.gw.00003.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 0 with PID 30495 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000010001.mgt.00001.bak': No such file or directory
mv: cannot stat `000020001.mgt.00001.bak': No such file or directory
mv: cannot stat `000020002.mgt.00001.bak': No such file or directory
mv: cannot stat `000020001.gw.00001.bak': No such file or directory
mv: cannot stat `000020002.gw.00001.bak': No such file or directory
mv: cannot stat `000030001.mgt.00001.bak': No such file or directory
mv: cannot stat `000030002.mgt.00001.bak': No such file or directory
mv: cannot stat `000030001.gw.00001.bak': No such file or directory
mv: cannot stat `000030002.gw.00001.bak': No such file or directory
mv: cannot stat `000040001.mgt.00001.bak': No such file or directory
mv: cannot stat `000040002.mgt.00001.bak': No such file or directory
mv: cannot stat `000040001.gw.00001.bak': No such file or directory
mv: cannot stat `000040002.gw.00001.bak': No such file or directory
mv: cannot stat `000050001.mgt.00001.bak': No such file or directory
mv: cannot stat `000050002.mgt.00001.bak': No such file or directory
mv: cannot stat `000090001.mgt.00001.bak': No such file or directory
mv: cannot stat `000090002.mgt.00001.bak': No such file or directory
mv: cannot stat `000130001.gw.00001.bak': No such file or directory
mv: cannot stat `000130002.gw.00001.bak': No such file or directory
mv: cannot stat `000140001.mgt.00001.bak': No such file or directory
mv: cannot stat `000160002.gw.00001.bak': No such file or directory
mv: cannot move `000190001.gw.00001.bak' to `000190001.gw.00001': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 1 with PID 7057 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `out/FLOW_OUT00012.txt': No such file or directory
mv: cannot stat `000020002.mgt.00012.bak': No such file or directory
mv: cannot stat `000030002.mgt.00012.bak': No such file or directory
mv: cannot stat `000030001.gw.00012.bak': No such file or directory
mv: cannot stat `000030002.gw.00012.bak': No such file or directory
mv: cannot move `000080003.mgt.00012.bak' to `000080003.mgt.00012': No such file or directory
mv: cannot stat `000080002.gw.00012.bak': No such file or directory
mv: cannot stat `000090001.gw.00012.bak': No such file or directory
mv: cannot stat `000100001.gw.00012.bak': No such file or directory
mv: cannot stat `000100002.gw.00012.bak': No such file or directory
mv: cannot stat `000110001.mgt.00012.bak': No such file or directory
mv: cannot stat `000110002.mgt.00012.bak': No such file or directory
mv: cannot stat `000120001.mgt.00012.bak': No such file or directory
mv: cannot stat `000120001.gw.00012.bak': No such file or directory
mv: cannot stat `000130002.mgt.00012.bak': No such file or directory
mv: cannot stat `000130001.gw.00012.bak': No such file or directory
mv: cannot stat `000130002.gw.00012.bak': No such file or directory
mv: cannot stat `000140001.mgt.00012.bak': No such file or directory
mv: cannot stat `000140002.mgt.00012.bak': No such file or directory
mv: cannot stat `000140001.gw.00012.bak': No such file or directory
mv: cannot stat `000140002.gw.00012.bak': No such file or directory
 Bad value during integer read                                                                       
mv: cannot stat `000150001.mgt.00012.bak': No such file or directory
mv: cannot stat `000150002.mgt.00012.bak': No such file or directory
--------------------------------------------------------------------------
mpirun has exited due to process rank 1 with PID 14781 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000180001.mgt.00007.bak': No such file or directory
mv: cannot stat `000030002.gw.00002.bak': No such file or directory
mv: cannot stat `000040001.mgt.00002.bak': No such file or directory
mv: cannot stat `000040002.mgt.00002.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 7 with PID 21425 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000190002.mgt.00015.bak': No such file or directory
mv: cannot stat `000200001.mgt.00015.bak': No such file or directory
mv: cannot stat `000200002.mgt.00015.bak': No such file or directory
mv: cannot stat `000200001.gw.00015.bak': No such file or directory
mv: cannot stat `000200002.gw.00015.bak': No such file or directory
mv: cannot stat `000010001.mgt.00015.bak': No such file or directory
mv: cannot stat `000020002.gw.00015.bak': No such file or directory
mv: cannot stat `000030001.mgt.00015.bak': No such file or directory
mv: cannot stat `000030002.mgt.00015.bak': No such file or directory
mv: cannot stat `000030001.gw.00015.bak': No such file or directory
mv: cannot stat `000030002.gw.00015.bak': No such file or directory
mv: cannot stat `000040001.mgt.00015.bak': No such file or directory
mv: cannot stat `000040002.mgt.00015.bak': No such file or directory
mv: cannot stat `000040002.gw.00015.bak': No such file or directory
mv: cannot stat `000140001.mgt.00004.bak': No such file or directory
mv: cannot stat `000100002.mgt.00015.bak': No such file or directory
mv: cannot stat `000140002.mgt.00004.bak': No such file or directory
mv: cannot stat `000100001.gw.00015.bak': No such file or directory
mv: cannot stat `000100002.gw.00015.bak': No such file or directory
mv: cannot stat `000140001.gw.00004.bak': No such file or directory
mv: cannot stat `000110002.mgt.00015.bak': No such file or directory
