 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7521****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7388****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7312****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7337****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7348****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7269****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7224****** 耗时:    40s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7202****** 耗时:    46s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.7193****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.7157****** 耗时:    58s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.7137****** 耗时:    63s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.7119****** 耗时:    69s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.7105****** 耗时:    74s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.7102****** 耗时:    80s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.7056****** 耗时:    86s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.7044****** 耗时:    93s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.7029****** 耗时:    98s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.7036****** 耗时:   104s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.7018****** 耗时:   110s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.7003****** 耗时:   116s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170510 21:20:00:790   结束时间: 20170510 21:21:56:207    历时:  116s
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7582****** 耗时:     5s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7337****** 耗时:    11s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7331****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7242****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7172****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7075****** 耗时:    34s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7047****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6973****** 耗时:    46s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6945****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6951****** 耗时:    58s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6976****** 耗时:    64s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6983****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6988****** 耗时:    77s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6967****** 耗时:    83s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6940****** 耗时:    88s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6931****** 耗时:    94s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6934****** 耗时:   100s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6901****** 耗时:   106s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6871****** 耗时:   112s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6832****** 耗时:   118s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170510 22:04:47:019   结束时间: 20170510 22:06:45:867    历时:  118s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 10


 best object function value(  0.7582) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7453****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7304****** 耗时:    11s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7285****** 耗时:    17s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7294****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7301****** 耗时:    28s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7241****** 耗时:    34s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7257****** 耗时:    40s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7139****** 耗时:    46s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.7132****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.7088****** 耗时:    57s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.7099****** 耗时:    63s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.7088****** 耗时:    69s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.7102****** 耗时:    75s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.7110****** 耗时:    81s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.7107****** 耗时:    86s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.7104****** 耗时:    92s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.7064****** 耗时:    98s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.7059****** 耗时:   104s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.7064****** 耗时:   110s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.7070****** 耗时:   116s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170510 22:06:46:033   结束时间: 20170510 22:08:42:713    历时:  116s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 14


 best object function value(  0.7453) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7949****** 耗时:     7s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7177****** 耗时:    13s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7198****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7228****** 耗时:    24s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7300****** 耗时:    30s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7299****** 耗时:    36s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7320****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7278****** 耗时:    48s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.7275****** 耗时:    54s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.7288****** 耗时:    60s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.7218****** 耗时:    65s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.7247****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.7232****** 耗时:    77s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.7247****** 耗时:    83s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.7245****** 耗时:    88s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.7211****** 耗时:    94s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.7207****** 耗时:   101s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.7133****** 耗时:   107s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.7118****** 耗时:   113s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.7042****** 耗时:   119s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170510 22:08:42:868   结束时间: 20170510 22:10:41:234    历时:  119s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 13


 best object function value(  0.7949) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7871****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.6963****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6959****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6979****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7025****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6968****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7018****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6983****** 耗时:    46s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6899****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6839****** 耗时:    57s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6794****** 耗时:    63s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6807****** 耗时:    69s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6807****** 耗时:    75s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6810****** 耗时:    81s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6798****** 耗时:    86s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6775****** 耗时:    92s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6730****** 耗时:    98s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6702****** 耗时:   104s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6705****** 耗时:   109s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6709****** 耗时:   115s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170510 22:10:41:394   结束时间: 20170510 22:12:36:604    历时:  115s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 12


 best object function value(  0.7871) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7671****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7126****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7174****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7101****** 耗时:    24s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7126****** 耗时:    31s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7212****** 耗时:    37s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7198****** 耗时:    42s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7225****** 耗时:    48s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.7222****** 耗时:    54s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.7228****** 耗时:    60s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.7209****** 耗时:    66s*****************************************
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 5 with PID 11875 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000010001.mgt.00009.bak': No such file or directory
mv: cannot stat `000010002.mgt.00009.bak': No such file or directory
mv: cannot stat `000010001.gw.00009.bak': No such file or directory
mv: cannot stat `000010002.gw.00009.bak': No such file or directory
mv: cannot stat `000050002.gw.00009.bak': No such file or directory
mv: cannot stat `000070001.mgt.00009.bak': No such file or directory
mv: cannot stat `000160001.gw.00009.bak': No such file or directory
mv: cannot stat `000170001.mgt.00009.bak': No such file or directory
mv: cannot stat `000170001.gw.00009.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 3 with PID 12602 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `out/FLOW_OUT00008.txt': No such file or directory
mv: cannot stat `000040001.mgt.00008.bak': No such file or directory
mv: cannot stat `000040002.mgt.00008.bak': No such file or directory
mv: cannot stat `000040001.gw.00008.bak': No such file or directory
mv: cannot stat `000040002.gw.00008.bak': No such file or directory
mv: cannot stat `000050001.mgt.00008.bak': No such file or directory
mv: cannot stat `000050002.mgt.00008.bak': No such file or directory
mv: cannot stat `000080002.gw.00008.bak': No such file or directory
mv: cannot stat `000080003.gw.00008.bak': No such file or directory
mv: cannot stat `000090001.mgt.00008.bak': No such file or directory
mv: cannot stat `000090002.mgt.00008.bak': No such file or directory
mv: cannot stat `000020002.mgt.00003.bak': No such file or directory
mv: cannot stat `000020001.gw.00003.bak': No such file or directory
mv: cannot stat `000090002.gw.00008.bak': No such file or directory
mv: cannot stat `000020002.gw.00003.bak': No such file or directory
mv: cannot stat `000030001.gw.00003.bak': No such file or directory
mv: cannot stat `000030002.gw.00003.bak': No such file or directory
mv: cannot stat `000040001.mgt.00003.bak': No such file or directory
mv: cannot stat `000040002.mgt.00003.bak': No such file or directory
mv: cannot stat `000060001.mgt.00011.bak': No such file or directory
mv: cannot stat `000060002.mgt.00011.bak': No such file or directory
mv: cannot stat `000050002.gw.00003.bak': No such file or directory
mv: cannot stat `000060001.mgt.00003.bak': No such file or directory
mv: cannot stat `000080002.mgt.00003.bak': No such file or directory
mv: cannot stat `000090001.gw.00011.bak': No such file or directory
mv: cannot stat `000110001.mgt.00011.bak': No such file or directory
mv: cannot stat `000110002.mgt.00011.bak': No such file or directory
mv: cannot stat `000110002.gw.00011.bak': No such file or directory
mv: cannot stat `000120001.mgt.00011.bak': No such file or directory
mv: cannot stat `000120001.gw.00011.bak': No such file or directory
mv: cannot stat `000130001.mgt.00011.bak': No such file or directory
mv: cannot stat `000130002.mgt.00011.bak': No such file or directory
mv: cannot move `000130001.gw.00011.bak' to `000130001.gw.00011': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 1 with PID 19761 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot move `000150002.gw.00007.bak' to `000150002.gw.00007': No such file or directory
mv: cannot move `000170001.gw.00008.bak' to `000170001.gw.00008': No such file or directory
mv: cannot stat `000180001.mgt.00008.bak': No such file or directory
mv: cannot stat `000160001.gw.00007.bak': No such file or directory
mv: cannot stat `000160002.gw.00007.bak': No such file or directory
mv: cannot move `000190001.mgt.00008.bak' to `000190001.mgt.00008': No such file or directory
mv: cannot stat `000170001.mgt.00007.bak': No such file or directory
mv: cannot stat `000170001.gw.00007.bak': No such file or directory
mv: cannot stat `000180001.mgt.00007.bak': No such file or directory
mv: cannot stat `000180001.gw.00007.bak': No such file or directory
mv: cannot stat `000010001.mgt.00007.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 9 with PID 28435 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 8 with PID 4184 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot move `000010002.gw.00001.bak' to `000010002.gw.00001': No such file or directory
mv: cannot move `000020001.mgt.00001.bak' to `000020001.mgt.00001': No such file or directory
mv: cannot move `000020002.mgt.00001.bak' to `000020002.mgt.00001': No such file or directory
mv: cannot stat `000020001.gw.00001.bak': No such file or directory
mv: cannot stat `000020002.gw.00003.bak': No such file or directory
mv: cannot stat `000030001.mgt.00003.bak': No such file or directory
mv: cannot stat `000030002.mgt.00003.bak': No such file or directory
mv: cannot stat `000030001.gw.00003.bak': No such file or directory
mv: cannot stat `000030002.gw.00003.bak': No such file or directory
mv: cannot move `000050001.gw.00001.bak' to `000050001.gw.00001': No such file or directory
mv: cannot stat `000050002.mgt.00003.bak': No such file or directory
mv: cannot stat `000050002.gw.00001.bak': No such file or directory
mv: cannot stat `000050001.gw.00003.bak': No such file or directory
mv: cannot move `000060001.mgt.00001.bak' to `000060001.mgt.00001': No such file or directory
mv: cannot stat `000070001.mgt.00001.bak': No such file or directory
mv: cannot stat `000070001.gw.00001.bak': No such file or directory
mv: cannot stat `000080001.mgt.00001.bak': No such file or directory
mv: cannot stat `000080002.mgt.00001.bak': No such file or directory
mv: cannot stat `000080003.mgt.00001.bak': No such file or directory
mv: cannot stat `000080001.gw.00001.bak': No such file or directory
mv: cannot stat `000080002.gw.00001.bak': No such file or directory
mv: cannot stat `000080003.gw.00001.bak': No such file or directory
mv: cannot stat `000090002.gw.00001.bak': No such file or directory
mv: cannot stat `000100001.mgt.00001.bak': No such file or directory
mv: cannot move `000100001.mgt.00014.bak' to `000100001.mgt.00014': No such file or directory
mv: cannot stat `000100002.mgt.00014.bak': No such file or directory
mv: cannot stat `000100001.gw.00001.bak': No such file or directory
mv: cannot stat `000100002.gw.00001.bak': No such file or directory
mv: cannot stat `000110001.mgt.00001.bak': No such file or directory
mv: cannot stat `000110002.mgt.00001.bak': No such file or directory
mv: cannot move `000120001.gw.00001.bak' to `000120001.gw.00001': No such file or directory
mv: cannot stat `000130001.gw.00001.bak': No such file or directory
mv: cannot stat `000130002.gw.00001.bak': No such file or directory
mv: cannot stat `000140001.mgt.00001.bak': No such file or directory
mv: cannot stat `000140002.mgt.00001.bak': No such file or directory
mv: cannot stat `000140001.gw.00001.bak': No such file or directory
mv: cannot stat `000140002.gw.00001.bak': No such file or directory
mv: cannot stat `000150001.mgt.00001.bak': No such file or directory
mv: cannot move `000150002.mgt.00001.bak' to `000150002.mgt.00001': No such file or directory
mv: cannot move `000150001.gw.00001.bak' to `000150001.gw.00001': No such file or directory
mv: cannot move `000150002.mgt.00005.bak' to `000150002.mgt.00005': No such file or directory
mv: cannot stat `000150003.gw.00005.bak': No such file or directory
mv: cannot stat `000160001.mgt.00005.bak': No such file or directory
mv: cannot stat `000160001.gw.00001.bak': No such file or directory
mv: cannot stat `000160002.gw.00001.bak': No such file or directory
mv: cannot move `000160002.mgt.00005.bak' to `000160002.mgt.00005': No such file or directory
mv: cannot stat `000170001.mgt.00001.bak': No such file or directory
mv: cannot stat `000160002.gw.00005.bak': No such file or directory
mv: cannot stat `000170001.mgt.00005.bak': No such file or directory
mv: cannot stat `000170001.gw.00005.bak': No such file or directory
mv: mv: cannot stat `000180001.gw.00005.bak': No such file or directory
cannot stat `000190001.mgt.00012.bak': No such file or directory
mv: cannot move `000190001.mgt.00005.bak' to `000190001.mgt.00005': No such file or directory
mv: cannot stat `000200002.mgt.00011.bak': No such file or directory
mv: cannot move `000190002.gw.00005.bak' to `000190002.gw.00005': No such file or directory
mv: cannot move `000200002.mgt.00001.bak' to `000200002.mgt.00001': No such file or directory
mv: cannot stat `000200001.mgt.00005.bak': No such file or directory
mv: cannot stat `000200002.mgt.00005.bak': No such file or directory
mv: cannot stat `000200001.gw.00012.bak': No such file or directory
mv: cannot stat `000010002.mgt.00009.bak': No such file or directory
mv: cannot stat `000060001.gw.00009.bak': No such file or directory
mv: cannot stat `000060002.gw.00009.bak': No such file or directory
mv: cannot stat `000080002.mgt.00009.bak': No such file or directory
mv: cannot stat `000080003.mgt.00009.bak': No such file or directory
mv: cannot stat `000080001.gw.00009.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 14 with PID 10066 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000190002.mgt.00006.bak': No such file or directory
mv: cannot stat `000190001.gw.00006.bak': No such file or directory
mv: cannot stat `000190002.gw.00006.bak': No such file or directory
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 12 with PID 20605 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 9 with PID 32162 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
 Bad value during integer read                                                                       
--------------------------------------------------------------------------
mpirun has exited due to process rank 4 with PID 7999 on
node node01 exiting improperly. There are three reasons this could occur:

1. this process did not call "init" before exiting, but others in
the job did. This can cause a job to hang indefinitely while it waits
for all processes to call "init". By rule, if one process calls "init",
then ALL processes must call "init" prior to termination.

2. this process called "init", but exited without calling "finalize".
By rule, all processes that call "init" MUST call "finalize" prior to
exiting or it will be considered an "abnormal termination"

3. this process called "MPI_Abort" or "orte_abort" and the mca parameter
orte_create_session_dirs is set to false. In this case, the run-time cannot
detect that the abort call was an abnormal termination. Hence, the only
error message you will receive is this one.

This may have caused other processes in the application to be
terminated by signals sent by mpirun (as reported here).

You can avoid this message by specifying -quiet on the mpirun command line.

--------------------------------------------------------------------------
mv: cannot stat `000050002.mgt.00013.bak': No such file or directory
mv: cannot stat `000050001.gw.00013.bak': No such file or directory
mv: cannot stat `000100002.gw.00013.bak': No such file or directory
mv: cannot stat `000110001.mgt.00013.bak': No such file or directory
mv: cannot stat `000110002.mgt.00013.bak': No such file or directory
forrtl: severe (24): end-of-file during read, unit 110, file /home/wujiahao/parall_ga_swat/000200001.gw.00008
Image              PC                Routine            Line        Source             
swat2012_627_para  00000000005DEB96  Unknown               Unknown  Unknown
swat2012_627_para  00000000005FB997  Unknown               Unknown  Unknown
swat2012_627_para  00000000004E402E  Unknown               Unknown  Unknown
swat2012_627_para  0000000000502844  Unknown               Unknown  Unknown
swat2012_627_para  00000000004DEDA7  Unknown               Unknown  Unknown
swat2012_627_para  00000000004B49CD  Unknown               Unknown  Unknown
swat2012_627_para  000000000040401E  Unknown               Unknown  Unknown
libc-2.12.so       0000003185E1ED1D  __libc_start_main     Unknown  Unknown
swat2012_627_para  0000000000403F29  Unknown               Unknown  Unknown
forrtl: severe (24): end-of-file during read, unit 110, file /home/wujiahao/parall_ga_swat/000190002.gw.00003
Image              PC                Routine            Line        Source             
swat2012_627_para  00000000005DEB96  Unknown               Unknown  Unknown
swat2012_627_para  00000000005FB997  Unknown               Unknown  Unknown
